ind_t,date,adr,p,n_killed,n_injured,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,rand_ind_t,G0_indegree,G0_outdegree,G0_null_indegree,G0_null_outdegree,G1_indegree,G1_outdegree,G1_null_indegree,G1_null_outdegree
32,2014-04-05,4300 W Wilcox Street Chicago Illinois,2.6206565966927617,1,5,Illinois,-87.733109,41.879032,,,,,,,,,,,,,,,0.6931471805599453,1.791759469228055,328,0,0,0,0,3,0,8,0
33,2014-04-06,Northwest 29th Street and Portland Avenue Oklahoma City Oklahoma,1.515716566510398,0,4,Oklahoma,-97.583367,35.4987478,,,,,,,,,,,,,,,0.0,1.6094379124341005,254,0,0,0,0,10,4,3,3
33,2014-04-06,90 Worthington St. Springfield Massachusetts,1.515716566510398,0,4,Massachusetts,-72.5937223,42.10316410000001,,,,,,,,,,,,,,,0.0,1.6094379124341005,254,1,0,1,0,10,0,5,0
34,2014-04-07,500 block of South Alexander Street New Orleans Louisiana,1.515716566510398,0,4,Louisiana,-90.1071864,29.9732273,,,,,,,,,,,,,,,0.0,1.6094379124341005,369,0,0,0,0,1,10,1,7
35,2014-04-09,300 N Sunset Ave Rockford Illinois,1.6206565966927624,0,5,Illinois,-89.1183927,42.2787689,,,,,,,,,,,,,,,0.0,1.791759469228055,11,2,0,2,0,5,1,7,4
35,2014-04-09,Kellys Ferry Road and Kellys Ferry Place Lookout Valley Tennessee,3.1576692799745936,3,1,Tennessee,-85.3877316,35.0246925,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,11,1,0,1,0,5,0,7,0
36,2014-04-11,North 15th and H Streets Richmond Indiana,1.515716566510398,0,4,Indiana,-84.88160599999998,39.838645,,,,,,,,,,,,,,,0.0,1.6094379124341005,810,1,5,1,5,2,8,3,7
37,2014-04-12,2100 block of Pauger Street New Orleans Louisiana,2.3903891703159093,1,3,Louisiana,-90.0607641,29.9715019,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,302,1,2,1,2,3,5,5,4
38,2014-04-14,1909 19th St SE Washington District of Columbia,1.515716566510398,0,4,District of Columbia,-76.9773537,38.8682391,,,,,,,,,,,,,,,0.0,1.6094379124341005,1159,1,2,1,2,3,5,2,5
39,2014-04-20,1300 block of Jackson St Montgomery Illinois,1.711769859409705,0,6,Illinois,-88.31043170000002,41.7302378,,,,,,,,,,,,,,,0.0,1.9459101490553128,332,0,1,0,1,0,6,0,8
39,2014-04-20,2902 N. 32nd St. Tampa Florida,2.855649206057388,2,2,Florida,-82.4252178,27.9693738,,,,,,,,,,,,,,,1.0986122886681098,1.0986122886681098,332,0,2,0,2,0,13,0,14
39,2014-04-20,6600 South Michigan Ave Chicago Illinois,1.6206565966927624,0,5,Illinois,-87.62309909999998,41.774825,,,,,,,,,,,,,,,0.0,1.791759469228055,332,0,1,0,1,0,10,0,8
40,2014-04-22,6419 Brynhurst Avenue Los Angeles California,2.3903891703159093,1,3,California,-118.3342778,33.981092700000005,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,394,1,0,1,0,10,0,6,0
41,2014-04-25,2000 Chelsea Avenue Memphis Tennessee,3.0148939630283804,2,3,Tennessee,-89.9906671,35.1734373,,,,,,,,,,,,,,,1.0986122886681098,1.3862943611198906,342,1,0,1,0,13,0,7,0
42,2014-04-27,Fourth Street Troy New York,1.6206565966927624,0,5,New York,-73.6911982,42.7213387,,,,,,,,,,,,,,,0.0,1.791759469228055,53,1,1,1,1,3,4,3,2
43,2014-04-29,1675 Airport Road Kennesaw Georgia,2.7117698594097046,1,6,Georgia,-84.6019546,34.0087685,,,,,,,,,,,,,,,0.6931471805599453,1.9459101490553128,485,0,0,0,0,4,7,3,5
44,2014-04-30,7200 South Phillips Avenue Chicago Illinois,1.515716566510398,0,4,Illinois,-87.56576740000001,41.7644081,,,,,,,,,,,,,,,0.0,1.6094379124341005,917,0,2,0,2,2,8,1,8
