ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,case,summary,age_of_shooter,prior_signs_mental_health_issues,mental_health_details,weapons_obtained_legally,where_obtained,weapon_type,weapon_details,race,gender,mental_health_sources,sources_additional_age,type,log_n_killed,log_n_injured,indegree,outdegree
33,21,2014-02-25,33325 Graceland Ln Glade Spring Virginia,1.3345506928718538,4,1,Glade Spring,Virginia,-81.78587639999998,36.7840021,,,,,,,,,,,,,,,1.6094379124341005,0.6931471805599453,1,10
34,22,2014-03-01,7800 Gratiot Av. Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.01477849999998,42.3779806,,,,,,,,,,,,,,,0.0,1.6094379124341005,12,0
35,22,2014-03-01,Hamilton Avenue Pittsburgh Pennsylvania,0.9680344001221916,1,4,Pittsburgh,Pennsylvania,-79.9007297,40.45535539999999,,,,,,,,,,,,,,,0.6931471805599453,1.6094379124341005,5,6
36,23,2014-03-05,Law Street Pelzer South Carolina,1.2999897393843562,3,2,Pelzer,South Carolina,-82.45249,34.6390534,,,,,,,,,,,,,,,1.3862943611198906,1.0986122886681098,2,11
37,24,2014-03-08,4900 West Race Ave Chicago Illinois,0.583773044716594,0,6,Chicago,Illinois,-87.74830899999998,41.890715,,,,,,,,,,,,,,,0.0,1.9459101490553128,9,5
38,24,2014-03-08,1600 block of First Street Richmond California,0.9010913347279288,1,3,Richmond,California,-122.368475,37.956275,,,,,,,,,,,,,,,0.6931471805599453,1.3862943611198906,9,7
39,25,2014-03-09, 4900 block of West Race Avenue Austin Texas,0.583773044716594,0,6,Austin,Texas,-87.74830899999998,41.890715,,,,,,,,,,,,,,,0.0,1.9459101490553128,6,5
40,25,2014-03-09,531 W State St Fremont Ohio,1.178350206951907,3,1,Fremont,Ohio,-83.11653199999998,41.348378000000004,,,,,,,,,,,,,,,1.3862943611198906,0.6931471805599453,3,8
41,26,2014-03-14,S. Second and Roebling Sts Brooklyn New York,0.4828313737302301,0,4,Brooklyn,New York,-73.95906149999998,40.7121669,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
42,27,2014-03-16,4960 Highway 80 West  Waynesboro Georgia,0.4828313737302301,0,4,Waynesboro,Georgia,-81.84742740000002,33.209855,,,,,,,,,,,,,,,0.0,1.6094379124341005,7,0
