ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured,p_class,lonlat
76,48,2014-05-11,2517 Shasta Memphis Tennessee,0.6238324625039507,0,7,Memphis,Tennessee,-89.97327949999998,35.168766399999996,0.0,2.079441541679836,2,"[-89.97327949999998, 35.168766399999996]"
77,49,2014-05-12,3400 West 24th Street Chicago Illinois,0.4828313737302301,0,4,Chicago,Illinois,-87.710006,41.84806920000001,0.0,1.6094379124341005,1,"[-87.710006, 41.84806920000001]"
78,50,2014-05-13,Panther Trail and Childress Drive Atlanta Georgia,0.5375278407684164,0,5,Atlanta,Georgia,-84.486189,33.698155,0.0,1.791759469228055,2,"[-84.486189, 33.698155]"
79,51,2014-05-17,2200 block of Adams Place NE Washington District of Columbia,0.5375278407684164,0,5,Washington,District of Columbia,-76.97487989999998,38.9192532,0.0,1.791759469228055,2,"[-76.97487989999998, 38.9192532]"
80,51,2014-05-17,84000 block of Pedro Drive Coachella California,0.9010913347279288,1,3,Coachella,California,-116.18875729999999,33.6851422,0.6931471805599453,1.3862943611198906,2,"[-116.18875729999999, 33.6851422]"
81,52,2014-05-18,1643 Cleveland Rd Sandusky Ohio,0.6238324625039507,0,7,Sandusky,Ohio,-82.68584940000002,41.4429533,0.0,2.079441541679836,2,"[-82.68584940000002, 41.4429533]"
82,53,2014-05-21,4500 block of Village Fair Drive Dallas Texas,0.9010913347279288,1,3,Dallas,Texas,-96.826773,32.694117999999996,0.6931471805599453,1.3862943611198906,2,"[-96.826773, 32.694117999999996]"
83,54,2014-05-23,9541 Flower Street Bellflower California,1.0986122886681096,2,2,Bellflower,California,-118.1303257,33.8821979,1.0986122886681098,1.0986122886681098,3,"[-118.1303257, 33.8821979]"
84,54,2014-05-23,6200 block of Eads Street New Orleans Louisiana,1.1090354888959124,1,7,New Orleans,Louisiana,-90.0507377,30.0227315,0.6931471805599453,2.079441541679836,3,"[-90.0507377, 30.0227315]"
85,54,2014-05-23,840 Embarcadero Del Norte Goleta (Isla Vista) California,1.7857739119047358,4,8,Goleta (Isla Vista),California,-119.85507720000001,34.414239200000004,1.6094379124341005,2.19722457733622,4,"[-119.85507720000001, 34.414239200000004]"
86,55,2014-05-24,Ocean Boulevard near First Avenue North Myrtle Beach South Carolina,1.178350206951907,3,1,Myrtle Beach,South Carolina,-78.67765870000002,33.8173013,1.3862943611198906,0.6931471805599453,3,"[-78.67765870000002, 33.8173013]"
87,55,2014-05-24,Strathmoor St Detroit Michigan,0.4828313737302301,0,4,Detroit,Michigan,-83.187569,42.397021,0.0,1.6094379124341005,1,"[-83.187569, 42.397021]"
88,56,2014-05-25,2100 block of Joffre Avenue Toledo Ohio,0.9010913347279288,1,3,Toledo,Ohio,-83.58644269999998,41.6616563,0.6931471805599453,1.3862943611198906,2,"[-83.58644269999998, 41.6616563]"
89,57,2014-05-31,800 block of West Victoria St San Bernardino California,0.9010913347279288,1,3,San Bernardino,California,-117.3008869,34.1111328,0.6931471805599453,1.3862943611198906,2,"[-117.3008869, 34.1111328]"
90,58,2014-06-01,6500 46th Street Sacramento California,0.4828313737302301,0,4,Sacramento,California,-121.45240459999998,38.5084009,0.0,1.6094379124341005,1,"[-121.45240459999998, 38.5084009]"
91,58,2014-06-01,West Ferdinand Street and North Lavergne Avenue  Chicago Illinois,1.0227308671603779,1,5,Chicago,Illinois,-87.75049349999998,41.889518,0.6931471805599453,1.791759469228055,3,"[-87.75049349999998, 41.889518]"
92,59,2014-06-02,2660 E. 79th St Chicago Illinois,0.6238324625039507,0,7,Chicago,Illinois,-87.5591115,41.7521292,0.0,2.079441541679836,2,"[-87.5591115, 41.7521292]"
93,60,2014-06-03,Auburn Avenue Atlanta Georgia,0.9680344001221916,1,4,Atlanta,Georgia,-84.37746120000001,33.7555132,0.6931471805599453,1.6094379124341005,2,"[-84.37746120000001, 33.7555132]"
94,61,2014-06-04,4900 West West End Avenue Chicago Illinois,0.9010913347279288,1,3,Chicago,Illinois,-87.74818619999998,41.883270399999994,0.6931471805599453,1.3862943611198906,2,"[-87.74818619999998, 41.883270399999994]"
95,62,2014-06-07,10811 W. Ten Mile Rd. Oak Park Michigan,0.9010913347279288,1,3,Oak Park,Michigan,-83.1719483,42.4742091,0.6931471805599453,1.3862943611198906,2,"[-83.1719483, 42.4742091]"
96,62,2014-06-07,Tish Lane Moncks Corner South Carolina,1.0227308671603779,1,5,Moncks Corner,South Carolina,-80.13136999999998,33.1714215,0.6931471805599453,1.791759469228055,3,"[-80.13136999999998, 33.1714215]"
97,63,2014-06-08,611 Hardin Street Opp Alabama,0.9680344001221916,1,4,Opp,Alabama,-86.253191,31.27251889999999,0.6931471805599453,1.6094379124341005,2,"[-86.253191, 31.27251889999999]"
98,64,2014-06-09,Rosa Parks Boulevard and Godwin Avenue Paterson New Jersey,0.583773044716594,0,6,Paterson,New Jersey,-74.15908189999998,40.9206769,0.0,1.9459101490553128,2,"[-74.15908189999998, 40.9206769]"
99,65,2014-06-13,8600 block of South Figueroa Street Los Angeles California,1.178350206951907,3,1,Los Angeles,California,-118.28228500000002,33.9596113,1.3862943611198906,0.6931471805599453,3,"[-118.28228500000002, 33.9596113]"
100,66,2014-06-15,200 Berry Street Park Forest Illinois,0.4828313737302301,0,4,Park Forest,Illinois,-87.67870440000002,41.5015419,0.0,1.6094379124341005,1,"[-87.67870440000002, 41.5015419]"
101,66,2014-06-15,5100 Clinton Drive Kokomo Indiana,0.4828313737302301,0,4,Kokomo,Indiana,-86.1251637,40.4368037,0.0,1.6094379124341005,1,"[-86.1251637, 40.4368037]"
102,67,2014-06-20,6600 block of Greig Street Seat Pleasant Maryland,0.4828313737302301,0,4,Seat Pleasant,Maryland,-76.9058536,38.9001431,0.0,1.6094379124341005,1,"[-76.9058536, 38.9001431]"
103,68,2014-06-21,2119 East Alcy Road Memphis Tennessee,0.5375278407684164,0,5,Memphis,Tennessee,-89.99202629999998,35.0779873,0.0,1.791759469228055,2,"[-89.99202629999998, 35.0779873]"
104,68,2014-06-21,Florida Avenue and U Street NW Washington District of Columbia,0.4828313737302301,0,4,Washington,District of Columbia,-77.04119509999998,38.917022499999995,0.0,1.6094379124341005,1,"[-77.04119509999998, 38.917022499999995]"
105,69,2014-06-22,Windsor Avenue Windsor California,0.9010913347279288,1,3,Windsor,California,-122.81890320000001,38.5478719,0.6931471805599453,1.3862943611198906,2,"[-122.81890320000001, 38.5478719]"
106,70,2014-06-24,Northwest 12th Avenue and 65th Street Miami Florida,1.3928610645716275,2,7,Miami,Florida,-80.2169445,25.8343478,1.0986122886681098,2.079441541679836,3,"[-80.2169445, 25.8343478]"
107,71,2014-06-25,Midland Street Lowell Massachusetts,0.5375278407684164,0,5,Lowell,Massachusetts,-71.32692829999998,42.6235027,0.0,1.791759469228055,2,"[-71.32692829999998, 42.6235027]"
108,72,2014-06-26,Grand St Detroit Michigan,1.0986122886681096,2,2,Detroit,Michigan,-83.1258155,42.3936105,1.0986122886681098,1.0986122886681098,3,"[-83.1258155, 42.3936105]"
109,72,2014-06-26,24th and Locust Milwaukee Wisconsin,0.5375278407684164,0,5,Milwaukee,Wisconsin,-87.9423791,43.0714769,0.0,1.791759469228055,2,"[-87.9423791, 43.0714769]"
110,73,2014-06-27,1600 block of Cathy Street San Diego California,0.9010913347279288,1,3,San Diego,California,-117.09462959999999,32.5872545,0.6931471805599453,1.3862943611198906,2,"[-117.09462959999999, 32.5872545]"
111,74,2014-06-28,Fifth Avenue and West 139th Street Manhattan New York,0.4828313737302301,0,4,Manhattan,New York,-73.93575799999998,40.8153398,0.0,1.6094379124341005,1,"[-73.93575799999998, 40.8153398]"
112,74,2014-06-28,5500 Cedar Point Way Antioch California,0.6238324625039507,0,7,Antioch,California,-121.7575243,37.9570006,0.0,2.079441541679836,2,"[-121.7575243, 37.9570006]"
113,75,2014-06-29,1100 block of North Vermont Avenue Los Angeles California,1.0227308671603779,1,5,Los Angeles,California,-118.29135120000001,34.0912202,0.6931471805599453,1.791759469228055,3,"[-118.29135120000001, 34.0912202]"
114,75,2014-06-29,2800 block of Dayton Saint Louis Missouri,0.4828313737302301,0,4,Saint Louis,Missouri,-90.216016,38.641863,0.0,1.6094379124341005,1,"[-90.216016, 38.641863]"
115,75,2014-06-29,700 block of Bourbon St New Orleans Louisiana,1.1759785542901753,1,9,New Orleans,Louisiana,-90.06545679999998,29.95860729999999,0.6931471805599453,2.302585092994046,3,"[-90.06545679999998, 29.95860729999999]"
116,76,2014-06-30,Scottsdale Circle Lexington Kentucky,0.9010913347279288,1,3,Lexington,Kentucky,-84.47805290000002,38.075951,0.6931471805599453,1.3862943611198906,2,"[-84.47805290000002, 38.075951]"
117,77,2014-07-02,1400 block of West Congress Street Chester Pennsylvania,0.5375278407684164,0,5,Chester,Pennsylvania,-75.38633270000003,39.840613,0.0,1.791759469228055,2,"[-75.38633270000003, 39.840613]"
118,78,2014-07-04,1722 Thurgood Street Norfolk Virginia,0.5375278407684164,0,5,Norfolk,Virginia,-76.26257620000001,36.826021000000004,0.0,1.791759469228055,2,"[-76.26257620000001, 36.826021000000004]"
119,79,2014-07-05,4700 Piggott Avenue Centreville Illinois,0.5375278407684164,0,5,Centreville,Illinois,-90.1232191,38.5800536,0.0,1.791759469228055,2,"[-90.1232191, 38.5800536]"
120,79,2014-07-05,Broad Ripple Avenue Indianapolis Indiana,0.6238324625039507,0,7,Indianapolis,Indiana,-86.1313339,39.86863029999999,0.0,2.079441541679836,2,"[-86.1313339, 39.86863029999999]"
121,79,2014-07-05,333 SE 122ND Ave Portland Oregon,0.9680344001221916,1,4,Portland,Oregon,-122.53802749999998,45.5199441,0.6931471805599453,1.6094379124341005,2,"[-122.53802749999998, 45.5199441]"
122,79,2014-07-05,861 W. 36th Street Norfolk Virginia,0.6238324625039507,0,7,Norfolk,Virginia,-76.29744040000001,36.8782321,0.0,2.079441541679836,2,"[-76.29744040000001, 36.8782321]"
123,79,2014-07-05,1700 Almeda-Genoa Houston Texas,0.583773044716594,0,6,Houston,Texas,-95.395748,29.612063,0.0,1.9459101490553128,2,"[-95.395748, 29.612063]"
124,80,2014-07-06,100 block of Erb Street Buffalo New York,0.4828313737302301,0,4,Buffalo,New York,-78.8001941,42.92087470000001,0.0,1.6094379124341005,1,"[-78.8001941, 42.92087470000001]"
125,80,2014-07-06,4600 block of Natural Bridge Avenue Saint Louis Missouri,0.4828313737302301,0,4,Saint Louis,Missouri,-90.2418171,38.6716102,0.0,1.6094379124341005,1,"[-90.2418171, 38.6716102]"
126,80,2014-07-06,NW 20th Ave and NW 62nd St Miami Florida,1.0986122886681096,2,2,Miami,Florida,-80.22998299999998,25.8315384,1.0986122886681098,1.0986122886681098,3,"[-80.22998299999998, 25.8315384]"
127,81,2014-07-07,312  E Baseline Street  San Bernardino California,0.9680344001221916,1,4,San Bernardino,California,-117.27820890000001,34.121708899999994,0.6931471805599453,1.6094379124341005,2,"[-117.27820890000001, 34.121708899999994]"
128,81,2014-07-07,KY 194E Stopover Kentucky,0.4828313737302301,0,4,Stopover,Kentucky,-82.09269909999998,37.51569250000001,0.0,1.6094379124341005,1,"[-82.09269909999998, 37.51569250000001]"
129,82,2014-07-08,35 March Street Providence Rhode Island,0.5375278407684164,0,5,Providence,Rhode Island,-71.424938,41.84164699999999,0.0,1.791759469228055,2,"[-71.424938, 41.84164699999999]"
130,83,2014-07-09,711 Leaflet Ln Spring Texas,1.5700812585067028,6,1,Spring,Texas,-95.4420109,30.04083199999999,1.9459101490553128,0.6931471805599453,4,"[-95.4420109, 30.04083199999999]"
