ind,ind_t,date,adr,p,n_killed,n_injured,city,state,LON,LAT,log_n_killed,log_n_injured
30,19,2014-02-20,300 W 1st St Alturas California,1.456190225304303,4,2,Alturas,California,-120.5452488,41.48394520000001,1.6094379124341003,1.0986122886681098
31,19,2014-02-20,3400 block of South Parker Indianapolis Indiana,1.1266065387038702,4,0,Indianapolis,Indiana,-86.1139417,39.7170274,1.6094379124341003,0.0
32,20,2014-02-22,1200 block of W Papeete St Wilmington California,0.48283137373023005,0,4,Wilmington,California,-118.2778726,33.7868812,0.0,1.6094379124341003
33,21,2014-02-25,33325 Graceland Ln Glade Spring Virginia,1.3345506928718538,4,1,Glade Spring,Virginia,-81.78587639999998,36.7840021,1.6094379124341003,0.6931471805599453
34,22,2014-03-01,7800 Gratiot Av. Detroit Michigan,0.48283137373023005,0,4,Detroit,Michigan,-83.01477849999998,42.3779806,0.0,1.6094379124341003
35,22,2014-03-01,Hamilton Avenue Pittsburgh Pennsylvania,0.9680344001221917,1,4,Pittsburgh,Pennsylvania,-79.9007297,40.45535539999999,0.6931471805599453,1.6094379124341003
36,23,2014-03-05,Law Street Pelzer South Carolina,1.2999897393843562,3,2,Pelzer,South Carolina,-82.45249,34.6390534,1.3862943611198906,1.0986122886681098
37,24,2014-03-08,4900 West Race Ave Chicago Illinois,0.583773044716594,0,6,Chicago,Illinois,-87.74830899999998,41.890715,0.0,1.9459101490553132
38,24,2014-03-08,1600 block of First Street Richmond California,0.9010913347279288,1,3,Richmond,California,-122.368475,37.956275,0.6931471805599453,1.3862943611198906
39,25,2014-03-09, 4900 block of West Race Avenue Austin Texas,0.583773044716594,0,6,Austin,Texas,-87.74830899999998,41.890715,0.0,1.9459101490553132
40,25,2014-03-09,531 W State St Fremont Ohio,1.178350206951907,3,1,Fremont,Ohio,-83.11653199999998,41.348378,1.3862943611198906,0.6931471805599453
41,26,2014-03-14,S. Second and Roebling Sts Brooklyn New York,0.48283137373023005,0,4,Brooklyn,New York,-73.95906149999998,40.7121669,0.0,1.6094379124341003
42,27,2014-03-16,4960 Highway 80 West  Waynesboro Georgia,0.48283137373023005,0,4,Waynesboro,Georgia,-81.84742740000002,33.209855,0.0,1.6094379124341003
43,27,2014-03-16,S 4th St Beaumont Texas,1.178350206951907,3,1,Beaumont,Texas,-94.1155643,30.058844300000004,1.3862943611198906,0.6931471805599453
44,28,2014-03-21,7550 Dorchester Road North Charleston South Carolina,0.48283137373023005,0,4,North Charleston,South Carolina,-80.0787343,32.9035946,0.0,1.6094379124341003
45,29,2014-03-23,601 Long Beach Boulevard Long Beach California,0.9010913347279288,1,3,Long Beach,California,-118.1897511,33.7743901,0.6931471805599453,1.3862943611198906
